sku;data_rodagem;intercepto_tscv;coef_log_preco_tscv;coef_quarta-feira_tscv;coef_terça-feira_tscv;coef_log_preco_sarimax;AIC_sarimax;BIC_sarimax;AIC_cruzado;BIC_cruzado
65159;29/09/2025 16:44;21,73357068;-3,892745884;0,091668517;-0,03076045;-1,600178312;1520,459578;1549,022066;589,1724101;602,863695
44897;29/09/2025 16:44;41,41396187;-8,601339926;-0,186768558;0,106317051;-5,220560021;4118,76401;4148,672308;2925,043994;2941,558968
64449;29/09/2025 16:45;29,51618786;-6,308481772;0,170158689;0,309710395;-3,68980749;3187,734902;3217,6432;2006,812558;2023,327532
21385;29/09/2025 16:45;24,77048992;-5,102997828;-0,070921873;0,230504906;-4,549309756;2922,965503;2952,873801;1965,981434;1982,496408
65512;29/09/2025 16:45;18,57410023;-4,019758567;0,11394806;0,235747759;0,574634993;3821,093214;3851,001512;2313,097635;2329,612609
81118;29/09/2025 16:45;-7,8081652;1,961575973;0,103120962;0,283319575;-1,313066853;2546,530524;2573,671898;1507,174304;1521,879715
76055;29/09/2025 16:45;8,636555636;-1,654995525;0,389310671;-0,042958125;-1,652171194;3145,958868;3174,773237;1791,52273;1807,295617
81119;29/09/2025 16:45;2,984727605;-0,305908006;0,294777027;0,025249341;-1,666803869;2193,146577;2220,287951;1287,922259;1302,62767
41259;29/09/2025 16:45;20,6471412;-4,271303594;0,182460123;0,098109071;-2,15964557;3256,381136;3286,22801;1812,981925;1829,457217
27817;29/09/2025 16:45;22,52054624;-4,614571568;0,159150465;0,15392673;-2,521801574;2848,789691;2878,636564;1626,733106;1643,208398
10037;29/09/2025 16:45;18,50306066;-4,514106511;0,169467232;0,182533546;-2,345749645;2294,000281;2323,903021;2344,799693;2361,303281
52834;29/09/2025 16:45;25,66453831;-5,541077558;0,151978865;0,230020909;-1,446648686;4197,823702;4227,732;2596,434562;2612,949536
72051;29/09/2025 16:45;-2,525001665;0,580191043;0,386551411;-0,094575991;-0,767023897;4212,066186;4241,856668;2499,940076;2516,386841
10036;29/09/2025 16:46;18,99025124;-4,254094863;0,241453342;0,223865281;-1,699622028;2794,908469;2824,755342;1840,816225;1857,291517
68027;29/09/2025 16:46;18,01446749;-3,633261048;0,195005608;0,072898661;-2,388057952;2309,759167;2339,667465;1277,296174;1293,811148
68028;29/09/2025 16:46;14,50278638;-2,992575257;-0,032768636;-0,011664346;-0,305041721;3859,062679;3888,970977;2052,623007;2069,137981
22859;29/09/2025 16:46;2,717301573;-0,472460437;-0,041480845;-0,338174228;-0,306294438;832,157508;862,0435425;206,2224111;215,2753932
66120;29/09/2025 16:46;17,08306599;-2,421196015;0,113542394;-0,00015527;-2,14955372;1580,831983;1610,650727;607,7503919;621,0446908
60304;29/09/2025 16:46;14,86115712;-3,027993944;-0,324477743;-0,109783617;-0,816259306;1875,992801;1905,867673;636,3700105;649,3365473
52322;29/09/2025 16:46;24,26511221;-5,326071465;0,365759529;0,255244604;-0,825897895;4369,518602;4399,4269;2632,409069;2648,924043
53048;29/09/2025 16:46;27,68543911;-5,437500527;0,006439683;0,157574373;5,844879716;4378,011492;4407,91979;2512,99943;2529,514404
52321;29/09/2025 16:46;25,59919277;-5,915718267;0,315487897;0,611430098;-6,753241766;4554,934827;4584,770465;2668,84927;2685,301508
52320;29/09/2025 16:46;24,51338065;-5,96339648;0,201328532;0,342734838;-2,478653774;4480,312203;4510,220501;2632,988861;2649,503835
52327;29/09/2025 16:47;12,23609223;-3,350692395;0,091561999;0,215523523;5,699398298;4594,286532;4624,19483;2668,107494;2684,622468
53167;29/09/2025 16:47;26,65620328;-6,20388745;0,135255076;0,301197453;3,582959476;4775,247475;4805,150215;2603,042417;2619,546005
75572;29/09/2025 16:47;-30,42743859;5,630700643;0,043890676;0,088694086;6,439071205;3127,853107;3156,260657;2061,182488;2076,651088
53158;29/09/2025 16:47;30,46166253;-7,637234747;0,072190246;0,437839201;-2,400928108;4958,15574;4988,064038;2656,592771;2673,107745
21120;29/09/2025 16:47;22,66148516;-4,569240701;0,298522163;0,163572164;-4,540777747;2848,607919;2878,516217;2451,288521;2467,803495
81379;29/09/2025 16:47;21,25083989;-4,90004434;0,054962161;-0,086222412;-0,470782985;1969,841521;1996,534858;1423,776738;1438,128653
57290;29/09/2025 16:47;19,73821112;-4,3255661;0,22684337;0,092879702;-2,790488476;3366,29855;3396,206848;2351,146592;2367,661566
104388;29/09/2025 16:47;12,54594886;-2,214902112;-0,024468565;0,155451945;-5,105076064;296,6781731;313,4529164;114,2393844;121,3486622
56150;29/09/2025 16:47;37,60245483;-9,132226324;0,248670079;0,211066408;1,879776951;4047,070062;4076,972802;2723,614919;2740,118507
56148;29/09/2025 16:47;43,57410788;-10,46838248;0,171674443;0,235898522;8,26333863;4129,368849;4159,254884;2726,214351;2742,683436
72525;29/09/2025 16:48;30,82402055;-8,460958731;0,024930102;0,09295918;-1,137661389;3832,034546;3861,942844;2742,590288;2759,105263
50151;29/09/2025 16:48;29,39701655;-8,651852943;0,049413505;0,07253608;-7,407987925;4061,586404;4091,494702;2934,214959;2950,729933
83032;29/09/2025 16:48;17,80900381;-4,413656513;0,467568721;0,260087515;-0,395332617;1895,397612;1921,3006;1352,936117;1366,924055
83034;29/09/2025 16:48;-3,923535569;1,221415799;0,021527315;0,237010572;2,533298432;1716,820853;1742,723841;1421,566771;1435,554709
98880;29/09/2025 16:48;16,37545153;-3,756417535;0,106145707;0,176799077;-7,014105544;763,849492;786,4029026;482,5376665;494,3352698
98879;29/09/2025 16:48;22,42543168;-5,252481116;-0,221677039;-0,150266031;-4,290863494;974,6421458;997,1575816;558,9973378;570,7206659
77095;29/09/2025 16:48;-4,97650836;1,42478907;0,496843538;0,240324851;3,830135514;3163,971904;3192,513499;2156,917627;2172,552802
80432;29/09/2025 16:48;20,91432424;-6,086039966;0,640510874;0,006243356;-1,911262219;2417,363218;2444,113248;1601,084266;1615,552277
85987;29/09/2025 16:48;8,464832763;-2,090457268;0,351890531;0,315264257;-2,771967639;1478,417613;1503,269838;888,5154101;901,8348981
85989;29/09/2025 16:48;13,04456737;-3,576669074;0,004615033;0,201269406;-4,447122068;1427,829677;1452,681902;1007,240548;1020,560036
85988;29/09/2025 16:48;16,8182122;-4,768320608;-0,067441719;0,059282899;-5,801146538;1649,905931;1674,745238;901,7711506;915,0658719
14722;29/09/2025 16:48;23,88617389;-5,08175839;0,574618586;0,077279747;6,360722212;3944,668739;3974,577037;2867,923121;2884,438095
70552;29/09/2025 16:48;31,91144453;-7,084009095;0,346819141;-0,165237324;-4,500476005;4432,694478;4462,602776;2735,16527;2751,680244
75226;29/09/2025 16:49;47,48357569;-7,897904181;0,398714727;0,329540667;-1,469657362;3729,223989;3758,196262;2383,703606;2399,597186
75228;29/09/2025 16:49;49,86832711;-7,5432438;0,373501322;0,174599786;-1,077650964;3768,844874;3797,791117;2314,367202;2330,206969
75227;29/09/2025 16:49;35,26083174;-5,61453604;0,284522578;0,131913936;-0,702685696;3459,368478;3487,754587;2097,038886;2112,574417
